Benchmark,twise,seed, ApproxMaxCov Time, Strategy 3 Time, Strategy 3 Combinations
FM-361.cnf,6,1,84.13789463043213,58.63507962226868,148525027
FM-361.cnf,6,2,84.13789463043213,59.940813302993774,148611508
FM-361.cnf,6,3,84.13789463043213,63.14791202545166,149343829
FM-361.cnf,6,4,84.13789463043213,62.5201313495636,149939990
FM-361.cnf,6,5,84.13789463043213,61.137259006500244,150048550
FM-361.cnf,6,6,84.13789463043213,62.195621967315674,149472629
FM-361.cnf,6,7,84.13789463043213,65.83089518547058,149634549
FM-361.cnf,6,8,84.13789463043213,66.02284646034241,148111027
FM-361.cnf,6,9,84.13789463043213,62.232529401779175,150521431
FM-361.cnf,6,10,84.13789463043213,61.93462920188904,149159828
XSEngine.cnf,6,1,-1,-1,-1
XSEngine.cnf,6,2,-1,-1,-1
XSEngine.cnf,6,3,-1,-1,-1
XSEngine.cnf,6,4,-1,-1,-1
XSEngine.cnf,6,5,-1,-1,-1
XSEngine.cnf,6,6,-1,-1,-1
XSEngine.cnf,6,7,-1,-1,-1
XSEngine.cnf,6,8,-1,-1,-1
XSEngine.cnf,6,9,-1,-1,-1
XSEngine.cnf,6,10,-1,-1,-1
aaed2000.cnf,6,1,-1,-1,-1
aaed2000.cnf,6,2,-1,-1,-1
aaed2000.cnf,6,3,-1,-1,-1
aaed2000.cnf,6,4,-1,-1,-1
aaed2000.cnf,6,5,-1,-1,-1
aaed2000.cnf,6,6,-1,-1,-1
aaed2000.cnf,6,7,-1,-1,-1
aaed2000.cnf,6,8,-1,-1,-1
aaed2000.cnf,6,9,-1,-1,-1
aaed2000.cnf,6,10,-1,-1,-1
adder.cnf,6,1,-1,-1,-1
adder.cnf,6,2,-1,-1,-1
adder.cnf,6,3,-1,-1,-1
adder.cnf,6,4,-1,-1,-1
adder.cnf,6,5,-1,-1,-1
adder.cnf,6,6,-1,-1,-1
adder.cnf,6,7,-1,-1,-1
adder.cnf,6,8,-1,-1,-1
adder.cnf,6,9,-1,-1,-1
adder.cnf,6,10,-1,-1,-1
adderII.cnf,6,1,-1,-1,-1
adderII.cnf,6,2,-1,-1,-1
adderII.cnf,6,3,-1,-1,-1
adderII.cnf,6,4,-1,-1,-1
adderII.cnf,6,5,-1,-1,-1
adderII.cnf,6,6,-1,-1,-1
adderII.cnf,6,7,-1,-1,-1
adderII.cnf,6,8,-1,-1,-1
adderII.cnf,6,9,-1,-1,-1
adderII.cnf,6,10,-1,-1,-1
aeb.cnf,6,1,-1,-1,-1
aeb.cnf,6,2,-1,-1,-1
aeb.cnf,6,3,-1,-1,-1
aeb.cnf,6,4,-1,-1,-1
aeb.cnf,6,5,-1,-1,-1
aeb.cnf,6,6,-1,-1,-1
aeb.cnf,6,7,-1,-1,-1
aeb.cnf,6,8,-1,-1,-1
aeb.cnf,6,9,-1,-1,-1
aeb.cnf,6,10,-1,-1,-1
aim711.cnf,6,1,-1,-1,-1
aim711.cnf,6,2,-1,-1,-1
aim711.cnf,6,3,-1,-1,-1
aim711.cnf,6,4,-1,-1,-1
aim711.cnf,6,5,-1,-1,-1
aim711.cnf,6,6,-1,-1,-1
aim711.cnf,6,7,-1,-1,-1
aim711.cnf,6,8,-1,-1,-1
aim711.cnf,6,9,-1,-1,-1
aim711.cnf,6,10,-1,-1,-1
aki3068net.cnf,6,1,-1,-1,-1
aki3068net.cnf,6,2,-1,-1,-1
aki3068net.cnf,6,3,-1,-1,-1
aki3068net.cnf,6,4,-1,-1,-1
aki3068net.cnf,6,5,-1,-1,-1
aki3068net.cnf,6,6,-1,-1,-1
aki3068net.cnf,6,7,-1,-1,-1
aki3068net.cnf,6,8,-1,-1,-1
aki3068net.cnf,6,9,-1,-1,-1
aki3068net.cnf,6,10,-1,-1,-1
am31_sim.cnf,6,1,-1,-1,-1
am31_sim.cnf,6,2,-1,-1,-1
am31_sim.cnf,6,3,-1,-1,-1
am31_sim.cnf,6,4,-1,-1,-1
am31_sim.cnf,6,5,-1,-1,-1
am31_sim.cnf,6,6,-1,-1,-1
am31_sim.cnf,6,7,-1,-1,-1
am31_sim.cnf,6,8,-1,-1,-1
am31_sim.cnf,6,9,-1,-1,-1
am31_sim.cnf,6,10,-1,-1,-1
asb.cnf,6,1,-1,-1,-1
asb.cnf,6,2,-1,-1,-1
asb.cnf,6,3,-1,-1,-1
asb.cnf,6,4,-1,-1,-1
asb.cnf,6,5,-1,-1,-1
asb.cnf,6,6,-1,-1,-1
asb.cnf,6,7,-1,-1,-1
asb.cnf,6,8,-1,-1,-1
asb.cnf,6,9,-1,-1,-1
asb.cnf,6,10,-1,-1,-1
asb2305.cnf,6,1,-1,-1,-1
asb2305.cnf,6,2,-1,-1,-1
asb2305.cnf,6,3,-1,-1,-1
asb2305.cnf,6,4,-1,-1,-1
asb2305.cnf,6,5,-1,-1,-1
asb2305.cnf,6,6,-1,-1,-1
asb2305.cnf,6,7,-1,-1,-1
asb2305.cnf,6,8,-1,-1,-1
asb2305.cnf,6,9,-1,-1,-1
asb2305.cnf,6,10,-1,-1,-1
assabet.cnf,6,1,-1,-1,-1
assabet.cnf,6,2,-1,-1,-1
assabet.cnf,6,3,-1,-1,-1
assabet.cnf,6,4,-1,-1,-1
assabet.cnf,6,5,-1,-1,-1
assabet.cnf,6,6,-1,-1,-1
assabet.cnf,6,7,-1,-1,-1
assabet.cnf,6,8,-1,-1,-1
assabet.cnf,6,9,-1,-1,-1
assabet.cnf,6,10,-1,-1,-1
at91sam7sek.cnf,6,1,-1,-1,-1
at91sam7sek.cnf,6,2,-1,-1,-1
at91sam7sek.cnf,6,3,-1,-1,-1
at91sam7sek.cnf,6,4,-1,-1,-1
at91sam7sek.cnf,6,5,-1,-1,-1
at91sam7sek.cnf,6,6,-1,-1,-1
at91sam7sek.cnf,6,7,-1,-1,-1
at91sam7sek.cnf,6,8,-1,-1,-1
at91sam7sek.cnf,6,9,-1,-1,-1
at91sam7sek.cnf,6,10,-1,-1,-1
at91sam7xek.cnf,6,1,-1,-1,-1
at91sam7xek.cnf,6,2,-1,-1,-1
at91sam7xek.cnf,6,3,-1,-1,-1
at91sam7xek.cnf,6,4,-1,-1,-1
at91sam7xek.cnf,6,5,-1,-1,-1
at91sam7xek.cnf,6,6,-1,-1,-1
at91sam7xek.cnf,6,7,-1,-1,-1
at91sam7xek.cnf,6,8,-1,-1,-1
at91sam7xek.cnf,6,9,-1,-1,-1
at91sam7xek.cnf,6,10,-1,-1,-1
atlas_mips32_4kc.cnf,6,1,-1,-1,-1
atlas_mips32_4kc.cnf,6,2,-1,-1,-1
atlas_mips32_4kc.cnf,6,3,-1,-1,-1
atlas_mips32_4kc.cnf,6,4,-1,-1,-1
atlas_mips32_4kc.cnf,6,5,-1,-1,-1
atlas_mips32_4kc.cnf,6,6,-1,-1,-1
atlas_mips32_4kc.cnf,6,7,-1,-1,-1
atlas_mips32_4kc.cnf,6,8,-1,-1,-1
atlas_mips32_4kc.cnf,6,9,-1,-1,-1
atlas_mips32_4kc.cnf,6,10,-1,-1,-1
atlas_mips64_5kc.cnf,6,1,-1,-1,-1
atlas_mips64_5kc.cnf,6,2,-1,-1,-1
atlas_mips64_5kc.cnf,6,3,-1,-1,-1
atlas_mips64_5kc.cnf,6,4,-1,-1,-1
atlas_mips64_5kc.cnf,6,5,-1,-1,-1
atlas_mips64_5kc.cnf,6,6,-1,-1,-1
atlas_mips64_5kc.cnf,6,7,-1,-1,-1
atlas_mips64_5kc.cnf,6,8,-1,-1,-1
atlas_mips64_5kc.cnf,6,9,-1,-1,-1
atlas_mips64_5kc.cnf,6,10,-1,-1,-1
axtls.cnf,6,1,212.1839997768402,110.06713628768921,28988514957
axtls.cnf,6,2,212.1839997768402,104.25167965888977,28638854629
axtls.cnf,6,3,212.1839997768402,103.95528936386108,28955222732
axtls.cnf,6,4,212.1839997768402,105.51612281799316,28679872121
axtls.cnf,6,5,212.1839997768402,108.01423382759094,28451608857
axtls.cnf,6,6,212.1839997768402,102.29801988601685,28631129361
axtls.cnf,6,7,212.1839997768402,109.25930404663086,28854610318
axtls.cnf,6,8,212.1839997768402,106.21119332313538,28906663907
axtls.cnf,6,9,212.1839997768402,106.62401819229126,28751054945
axtls.cnf,6,10,212.1839997768402,103.4683940410614,28955958472
brutus.cnf,6,1,-1,-1,-1
brutus.cnf,6,2,-1,-1,-1
brutus.cnf,6,3,-1,-1,-1
brutus.cnf,6,4,-1,-1,-1
brutus.cnf,6,5,-1,-1,-1
brutus.cnf,6,6,-1,-1,-1
brutus.cnf,6,7,-1,-1,-1
brutus.cnf,6,8,-1,-1,-1
brutus.cnf,6,9,-1,-1,-1
brutus.cnf,6,10,-1,-1,-1
buildroot.cnf,6,1,4623.450550794601,393.44103932380676,2514882882433978
buildroot.cnf,6,2,4623.450550794601,402.3910081386566,2512259154599881
buildroot.cnf,6,3,4623.450550794601,509.5121409893036,2512497675312072
buildroot.cnf,6,4,4623.450550794601,405.07034397125244,2511742359723468
buildroot.cnf,6,5,4623.450550794601,397.4094932079315,2511523715737293
buildroot.cnf,6,6,4623.450550794601,401.41447591781616,2513918861222208
buildroot.cnf,6,7,4623.450550794601,433.9411120414734,2511613161004365
buildroot.cnf,6,8,4623.450550794601,430.95197105407715,2515111464783161
buildroot.cnf,6,9,4623.450550794601,403.51357412338257,2513272867626692
buildroot.cnf,6,10,4623.450550794601,413.03328824043274,2514167320297406
busybox_1_28_0.cnf,6,1,11888.467728853226,762.9132566452026,78836579612263024
busybox_1_28_0.cnf,6,2,11888.467728853226,701.4936513900757,78835358106702752
busybox_1_28_0.cnf,6,3,11888.467728853226,709.8986294269562,78869865638780240
busybox_1_28_0.cnf,6,4,11888.467728853226,744.1862840652466,78718704325697488
busybox_1_28_0.cnf,6,5,11888.467728853226,717.1352713108063,78806652726036544
busybox_1_28_0.cnf,6,6,11888.467728853226,733.764741897583,78772145193959056
busybox_1_28_0.cnf,6,7,11888.467728853226,756.7261836528778,78834441977532576
busybox_1_28_0.cnf,6,8,11888.467728853226,754.2525322437286,78713512927066352
busybox_1_28_0.cnf,6,9,11888.467728853226,724.2797672748566,78805125844086208
busybox_1_28_0.cnf,6,10,11888.467728853226,712.8722863197327,78792300035703424
calm16_ceb.cnf,6,1,-1,-1,-1
calm16_ceb.cnf,6,2,-1,-1,-1
calm16_ceb.cnf,6,3,-1,-1,-1
calm16_ceb.cnf,6,4,-1,-1,-1
calm16_ceb.cnf,6,5,-1,-1,-1
calm16_ceb.cnf,6,6,-1,-1,-1
calm16_ceb.cnf,6,7,-1,-1,-1
calm16_ceb.cnf,6,8,-1,-1,-1
calm16_ceb.cnf,6,9,-1,-1,-1
calm16_ceb.cnf,6,10,-1,-1,-1
calm32_ceb.cnf,6,1,-1,-1,-1
calm32_ceb.cnf,6,2,-1,-1,-1
calm32_ceb.cnf,6,3,-1,-1,-1
calm32_ceb.cnf,6,4,-1,-1,-1
calm32_ceb.cnf,6,5,-1,-1,-1
calm32_ceb.cnf,6,6,-1,-1,-1
calm32_ceb.cnf,6,7,-1,-1,-1
calm32_ceb.cnf,6,8,-1,-1,-1
calm32_ceb.cnf,6,9,-1,-1,-1
calm32_ceb.cnf,6,10,-1,-1,-1
ceb_v850.cnf,6,1,-1,-1,-1
ceb_v850.cnf,6,2,-1,-1,-1
ceb_v850.cnf,6,3,-1,-1,-1
ceb_v850.cnf,6,4,-1,-1,-1
ceb_v850.cnf,6,5,-1,-1,-1
ceb_v850.cnf,6,6,-1,-1,-1
ceb_v850.cnf,6,7,-1,-1,-1
ceb_v850.cnf,6,8,-1,-1,-1
ceb_v850.cnf,6,9,-1,-1,-1
ceb_v850.cnf,6,10,-1,-1,-1
cerf.cnf,6,1,-1,-1,-1
cerf.cnf,6,2,-1,-1,-1
cerf.cnf,6,3,-1,-1,-1
cerf.cnf,6,4,-1,-1,-1
cerf.cnf,6,5,-1,-1,-1
cerf.cnf,6,6,-1,-1,-1
cerf.cnf,6,7,-1,-1,-1
cerf.cnf,6,8,-1,-1,-1
cerf.cnf,6,9,-1,-1,-1
cerf.cnf,6,10,-1,-1,-1
cerfpda.cnf,6,1,-1,-1,-1
cerfpda.cnf,6,2,-1,-1,-1
cerfpda.cnf,6,3,-1,-1,-1
cerfpda.cnf,6,4,-1,-1,-1
cerfpda.cnf,6,5,-1,-1,-1
cerfpda.cnf,6,6,-1,-1,-1
cerfpda.cnf,6,7,-1,-1,-1
cerfpda.cnf,6,8,-1,-1,-1
cerfpda.cnf,6,9,-1,-1,-1
cerfpda.cnf,6,10,-1,-1,-1
cma230.cnf,6,1,-1,-1,-1
cma230.cnf,6,2,-1,-1,-1
cma230.cnf,6,3,-1,-1,-1
cma230.cnf,6,4,-1,-1,-1
cma230.cnf,6,5,-1,-1,-1
cma230.cnf,6,6,-1,-1,-1
cma230.cnf,6,7,-1,-1,-1
cma230.cnf,6,8,-1,-1,-1
cma230.cnf,6,9,-1,-1,-1
cma230.cnf,6,10,-1,-1,-1
cma28x.cnf,6,1,-1,-1,-1
cma28x.cnf,6,2,-1,-1,-1
cma28x.cnf,6,3,-1,-1,-1
cma28x.cnf,6,4,-1,-1,-1
cma28x.cnf,6,5,-1,-1,-1
cma28x.cnf,6,6,-1,-1,-1
cma28x.cnf,6,7,-1,-1,-1
cma28x.cnf,6,8,-1,-1,-1
cma28x.cnf,6,9,-1,-1,-1
cma28x.cnf,6,10,-1,-1,-1
cme555.cnf,6,1,-1,-1,-1
cme555.cnf,6,2,-1,-1,-1
cme555.cnf,6,3,-1,-1,-1
cme555.cnf,6,4,-1,-1,-1
cme555.cnf,6,5,-1,-1,-1
cme555.cnf,6,6,-1,-1,-1
cme555.cnf,6,7,-1,-1,-1
cme555.cnf,6,8,-1,-1,-1
cme555.cnf,6,9,-1,-1,-1
cme555.cnf,6,10,-1,-1,-1
cq7708.cnf,6,1,-1,-1,-1
cq7708.cnf,6,2,-1,-1,-1
cq7708.cnf,6,3,-1,-1,-1
cq7708.cnf,6,4,-1,-1,-1
cq7708.cnf,6,5,-1,-1,-1
cq7708.cnf,6,6,-1,-1,-1
cq7708.cnf,6,7,-1,-1,-1
cq7708.cnf,6,8,-1,-1,-1
cq7708.cnf,6,9,-1,-1,-1
cq7708.cnf,6,10,-1,-1,-1
cq7750.cnf,6,1,-1,-1,-1
cq7750.cnf,6,2,-1,-1,-1
cq7750.cnf,6,3,-1,-1,-1
cq7750.cnf,6,4,-1,-1,-1
cq7750.cnf,6,5,-1,-1,-1
cq7750.cnf,6,6,-1,-1,-1
cq7750.cnf,6,7,-1,-1,-1
cq7750.cnf,6,8,-1,-1,-1
cq7750.cnf,6,9,-1,-1,-1
cq7750.cnf,6,10,-1,-1,-1
csb281.cnf,6,1,-1,-1,-1
csb281.cnf,6,2,-1,-1,-1
csb281.cnf,6,3,-1,-1,-1
csb281.cnf,6,4,-1,-1,-1
csb281.cnf,6,5,-1,-1,-1
csb281.cnf,6,6,-1,-1,-1
csb281.cnf,6,7,-1,-1,-1
csb281.cnf,6,8,-1,-1,-1
csb281.cnf,6,9,-1,-1,-1
csb281.cnf,6,10,-1,-1,-1
dreamcast.cnf,6,1,-1,-1,-1
dreamcast.cnf,6,2,-1,-1,-1
dreamcast.cnf,6,3,-1,-1,-1
dreamcast.cnf,6,4,-1,-1,-1
dreamcast.cnf,6,5,-1,-1,-1
dreamcast.cnf,6,6,-1,-1,-1
dreamcast.cnf,6,7,-1,-1,-1
dreamcast.cnf,6,8,-1,-1,-1
dreamcast.cnf,6,9,-1,-1,-1
dreamcast.cnf,6,10,-1,-1,-1
e7t.cnf,6,1,-1,-1,-1
e7t.cnf,6,2,-1,-1,-1
e7t.cnf,6,3,-1,-1,-1
e7t.cnf,6,4,-1,-1,-1
e7t.cnf,6,5,-1,-1,-1
e7t.cnf,6,6,-1,-1,-1
e7t.cnf,6,7,-1,-1,-1
e7t.cnf,6,8,-1,-1,-1
e7t.cnf,6,9,-1,-1,-1
e7t.cnf,6,10,-1,-1,-1
ea2468.cnf,6,1,-1,-1,-1
ea2468.cnf,6,2,-1,-1,-1
ea2468.cnf,6,3,-1,-1,-1
ea2468.cnf,6,4,-1,-1,-1
ea2468.cnf,6,5,-1,-1,-1
ea2468.cnf,6,6,-1,-1,-1
ea2468.cnf,6,7,-1,-1,-1
ea2468.cnf,6,8,-1,-1,-1
ea2468.cnf,6,9,-1,-1,-1
ea2468.cnf,6,10,-1,-1,-1
eb40.cnf,6,1,-1,-1,-1
eb40.cnf,6,2,-1,-1,-1
eb40.cnf,6,3,-1,-1,-1
eb40.cnf,6,4,-1,-1,-1
eb40.cnf,6,5,-1,-1,-1
eb40.cnf,6,6,-1,-1,-1
eb40.cnf,6,7,-1,-1,-1
eb40.cnf,6,8,-1,-1,-1
eb40.cnf,6,9,-1,-1,-1
eb40.cnf,6,10,-1,-1,-1
eb40a.cnf,6,1,-1,-1,-1
eb40a.cnf,6,2,-1,-1,-1
eb40a.cnf,6,3,-1,-1,-1
eb40a.cnf,6,4,-1,-1,-1
eb40a.cnf,6,5,-1,-1,-1
eb40a.cnf,6,6,-1,-1,-1
eb40a.cnf,6,7,-1,-1,-1
eb40a.cnf,6,8,-1,-1,-1
eb40a.cnf,6,9,-1,-1,-1
eb40a.cnf,6,10,-1,-1,-1
eb42.cnf,6,1,-1,-1,-1
eb42.cnf,6,2,-1,-1,-1
eb42.cnf,6,3,-1,-1,-1
eb42.cnf,6,4,-1,-1,-1
eb42.cnf,6,5,-1,-1,-1
eb42.cnf,6,6,-1,-1,-1
eb42.cnf,6,7,-1,-1,-1
eb42.cnf,6,8,-1,-1,-1
eb42.cnf,6,9,-1,-1,-1
eb42.cnf,6,10,-1,-1,-1
eb55.cnf,6,1,-1,-1,-1
eb55.cnf,6,2,-1,-1,-1
eb55.cnf,6,3,-1,-1,-1
eb55.cnf,6,4,-1,-1,-1
eb55.cnf,6,5,-1,-1,-1
eb55.cnf,6,6,-1,-1,-1
eb55.cnf,6,7,-1,-1,-1
eb55.cnf,6,8,-1,-1,-1
eb55.cnf,6,9,-1,-1,-1
eb55.cnf,6,10,-1,-1,-1
ebsa285.cnf,6,1,-1,-1,-1
ebsa285.cnf,6,2,-1,-1,-1
ebsa285.cnf,6,3,-1,-1,-1
ebsa285.cnf,6,4,-1,-1,-1
ebsa285.cnf,6,5,-1,-1,-1
ebsa285.cnf,6,6,-1,-1,-1
ebsa285.cnf,6,7,-1,-1,-1
ebsa285.cnf,6,8,-1,-1,-1
ebsa285.cnf,6,9,-1,-1,-1
ebsa285.cnf,6,10,-1,-1,-1
